WASHINGTON/BEIJING
U.S.
China
American
Beijing
Huawei
U.S.
Chinese
American
Trump
U.S.
Huawei
U.S.
American
American
Huawei
U.S.
U.S.-China
Chinese
Washington
United States
Chinese
Beijing
U.S.
Commerce Ministry
Gao Feng
United States
China
Chinese
Gao
China
Foreign Ministry
Canadian
Canada
Meng Wanzhou
Meng
United States
Huawei
CoverageU.S
Commerce Department
Canada
China
Meng
Canada
ECONOMIC FALLOUT
U.S. Commerce Department
U.S.
U.S. Congress
Huawei
Chinese
Americans
Trump
Republican
Marco Rubio
Huawei
Huawei
Samsung Electronics Co Ltd
Apple Inc
Gartner
Susquehanna Financial Group
Christopher Rolland
U.S.
Xilinx Inc. Shares
Xilinx
Qualcomm Inc
Huawei
Tianjin
China May
REUTERS/Jason LeeThere
U.S.-China
Walmart Inc
Chinese
Walmart Chief Financial Officer Brett Biggs
TARIFFS
United States
Chinese
MISSING)China
U.S.
U.S.
Donald Trump
China
Chinese
U.S.
China
United States
M&A
Stacy Rasgon
Bernstein
United States
China
Beijing
Tianjin
China May
REUTERS/Jason LeeThe
U.S.
China
China
Chinese
U.S.
China
African
Yawen Chen
Se Young Lee
Diane Bartz
Additional
David Shepardson
Washington
Stephen Nellis
Noel Randewich
San Francisco
Arjun Panchadar
Bengaluru
Chris Sanders
Paul Simao
Sonya Hepinstall
Peter CooneyOur Standards:The Thomson
Huawei
"Viva Tech,in Paris"
France May
REUTERS/Charles PlatiauWASHINGTON
Reuters
U.S. Commerce Department
Huawei
American
U.S.
Department
Huawei
Canada
Japan
Brazil
United Kingdom
Singapore
U.S.
U.S.
Huawei
United States
Brooklyn
New York
Huawei
U.S.
Huawei
Congress
Huawei
U.S.
Washington
Douglas Jacobson
U.S.
Huawei
Huawei
U.S.
Jacobson
David Shepardson
Karen Freifeld
Jonathan Oatis
Grant McCoolOur Standards:The Thomson
WASHINGTON
Reuters
U.S. President Donald Trump
United States
Iran
Switzerland President Ueli Maurer
U.S. President Donald Trump
Swiss Federal President Ueli Maurer
White House
Washington
U.S.
REUTERS/Carlos BarriaAsked
Washington
Tehran
Trump
Maurer
White House
U.S.-Iran
United States
Baghdad
Switzerland
United States
Iran
White House
Middle East
Venezuela
Trump
Switzerland
United States
Washington Post
U.S.
Trump
Iran
CoverageU.S
Congress
Iran
sourcesWalmart
China
U.S.
House
Sarah Sanders
Fox News Channel
Fox
Trump
American
American
U.S. House Speaker Nancy Pelosi
Trump
Tehran
Steve Holland
Susan Heavey
Richard Chang
Cynthia OstermanOur Standards:The Thomson
Walmart Inc
China
Bentonville
Macy
Inc
Gennette
Chinese
U.S. President Donald Trump
Chinese
China
Walmart Chief Financial Officer Brett Biggs
Moody
Charlie O
Walmart
Walmart
Walmart U.S. Chief Executive Officer Greg Foran
Walmart
Foods
Walmart
China
Walmart
FILE PHOTO
Walmart
New York Stock Exchange
New York
U.S.
REUTERS/Lucas Jackson/File PhotoNO SIGNS
Walmart CFO Biggs
U.S.
U.S.
Walmart
Amazon.com Inc
Amazon
Walmart
Walmart
U.S.
IBES
Refinitiv
Walmart
Walmart
Indian e-commerce
United States
Walmart
FILE PHOTO
Walmart
Chicago
Illinois
U.S.
REUTERS/Kamil Krzaczynski/File Photo Online
Walmart
British
Asda
Nandita Bose
Washington
Additional
Rod Nickel
Jeffrey Benkoe
Dan GreblerOur Standards:The Thomson
WASHINGTON
Reuters
U.S. President Donald Trump
Iran
Democratic
Republican
Mike Pompeo
Joint Chiefs
Joseph Dunford
Defense Patrick Shanahan
Senate
Trump
Senate
House
Representatives
Democrats
Pompeo
U.S. Congress
Trump
Iran
Washington
Tehran
Trump
Iran
